Number;x;y;Longitude;Latitude;Intensity;Temperature (C);Distance (km);
1;1142;375;151.8612;41.4504;528;19;0
2;1143;374;151.8742;41.45612;529;19;1.256465
3;1144;374;151.8872;41.46184;529;19;2.512847
4;1145;373;151.9002;41.46756;530;19;3.769147
5;1146;372;151.9132;41.47328;531;19;5.025364
6;1147;372;151.9262;41.479;531;19;6.281499
7;1148;371;151.9392;41.48472;531;19;7.537552
8;1149;371;151.9522;41.49044;531;19;8.793522
9;1150;370;151.9652;41.49616;533;19;10.04941
10;1151;370;151.9782;41.50188;531;19;11.30521
11;1152;369;151.9912;41.5076;532;19;12.56094
12;1153;368;152.0042;41.51332;528;19;13.81658
13;1154;368;152.0172;41.51904;525;18;15.07213
14;1155;367;152.0302;41.52476;526;18;16.32761
15;1156;367;152.0432;41.53048;526;18;17.583
16;1157;366;152.0562;41.5362;525;18;18.83831
17;1158;365;152.0692;41.54192;526;18;20.09353
18;1159;365;152.0822;41.54764;523;18;21.34868
19;1160;364;152.0952;41.55336;524;18;22.60374
20;1161;364;152.1082;41.55908;522;18;23.85872
21;1162;363;152.1212;41.5648;523;18;25.11361
22;1163;362;152.1342;41.57052;523;18;26.36843
23;1164;362;152.1472;41.57624;524;18;27.62316
24;1165;361;152.1602;41.58196;526;18;28.8778
25;1166;361;152.1732;41.58768;526;18;30.13237
26;1167;360;152.1862;41.5934;526;18;31.38685
27;1168;360;152.1993;41.59912;526;18;32.64125
28;1169;359;152.2123;41.60484;527;18;33.89556
29;1170;358;152.2253;41.61056;527;18;35.1498
30;1171;358;152.2383;41.61628;527;18;36.40395
31;1172;357;152.2513;41.622;531;19;37.65801
32;1173;357;152.2643;41.62772;543;20;38.912
33;1174;356;152.2773;41.63344;543;20;40.1659
34;1175;355;152.2903;41.63916;545;20;41.41972
35;1176;355;152.3033;41.64488;545;20;42.67345
36;1177;354;152.3163;41.6506;547;20;43.9271
37;1178;354;152.3293;41.65632;539;20;45.18067
38;1179;353;152.3423;41.66204;535;19;46.43416
39;1180;352;152.3553;41.66776;523;18;47.68756
40;1181;352;152.3683;41.67348;527;18;48.94088
41;1182;351;152.3813;41.6792;521;18;50.19412
42;1183;351;152.3943;41.68492;520;18;51.44727
43;1184;350;152.4073;41.69064;511;17;52.70034
44;1185;349;152.4203;41.69636;466;12;53.95333
45;1186;349;152.4333;41.70208;359;2;55.20623
46;1187;348;152.4463;41.7078;318;-2;56.45905
47;1188;348;152.4593;41.71352;223;-12;57.71179
48;1189;347;152.4723;41.71924;210;-13;58.96444
49;1190;347;152.4853;41.72496;201;-14;60.21701
